custid,townsize,gender,age,birthmonth,ed,jobcat,union,employ,retire,income,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,addresscat,cars,carown,cartype,carvalue,carbought,carbuy,commute,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,card2,card2type,card2benefit,card2fee,card2tenure,carditems,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,equipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,Customer_cat
3964-QJWTRG-NPN,2,1,20,September,15,1,1,0,0,31,11.1,1.2,0.18,2.24,0.81,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,1,2,1,0,14.3,0,0,8,22,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,5,3,1,0,3,5,4,67.8,0,3,5,1,6.5,1.87,34.4,1,29,3.37,161.05,5.08,1,29.5,126.1,1,14.25,2.66,60,4.09,0,0,NA,0,NA,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0,low_spend_cust
0648-AIPJSP-UVM,5,0,22,May,17,2,0,0,0,15,18.6,1.22,0.2,1.57,0.45,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,1,2,1,1,6.8,0,0,1,29,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,4,1,3,0,4,5,2,34.94,1,1,39,0,8.9,2.19,330.6,0,0,NA,0,NA,1,54.85,1975,1,16,2.77,610,6.41,1,45.65,3.82,1683.55,7.43,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0,low_spend_cust
5195-TLUDJE-HVO,4,1,67,June,14,2,0,16,0,35,9.9,0.93,-0.07,2.54,0.93,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,5,3,1,1,18.8,0,1,4,24,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,4,1,3,0,25,9,7,175.75,0,3,65,0,28.4,3.35,1858.35,0,0,NA,0,NA,0,0,0,1,23,3.14,1410,7.25,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0,low_spend_cust
4459-VLPQUH-3OL,3,0,23,May,16,2,0,0,0,20,5.7,0.02,-3.78,1.12,0.11,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,2,3,1,1,8.7,0,1,1,38,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,3,2,4,0,5,17,1,18.42,1,1,36,0,6,1.79,199.45,0,0,NA,0,NA,0,0,0,1,21,3.04,685,6.53,0,0,NA,0,NA,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0,medium_spend_cust
8158-SMTQFB-CNO,2,0,26,July,16,2,0,1,0,23,1.7,0.21,-1.54,0.18,-1.74,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,2,1,0,1,10.6,0,1,6,32,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,1,3,2,0,9,8,7,252.73,1,3,21,0,3.05,1.12,74.1,1,16.5,2.8,387.7,5.96,0,0,0,1,17.25,2.85,360,5.89,1,19.05,2.95,410.8,6.02,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0,medium_spend_cust
9662-FUSYIM-1IV,4,0,64,August,17,3,0,22,0,107,5.6,1.06,0.06,4.93,1.6,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,5,0,-1,-1,-1,-1,0,8,23,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,3,3,2,1,9,11,0,0,0,3,28,0,8.1,2.09,264.9,1,26.75,3.29,726.6,6.59,1,35.5,970.95,1,28.25,3.34,765,6.64,0,0,NA,0,NA,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0,medium_spend_cust
7432-QKQFJJ-K72,5,1,52,July,14,1,0,10,0,77,1.9,0.5,-0.69,0.96,-0.04,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,4,2,1,0,25.6,1,0,4,32,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,3,4,0,2,20,5,130.14,0,2,15,0,3.8,1.34,44.8,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0,medium_spend_cust
8959-RZWRHU-ST8,4,1,44,October,16,1,0,11,0,97,14.4,5.95,1.78,8.02,2.08,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,4,1,1,0,55.5,0,1,5,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,3,1,4,0,20,6,7,712.1,0,3,46,0,14.85,2.7,612.7,1,24,3.18,1110.4,7.01,0,0,0,1,14.5,2.67,630,6.45,0,0,NA,0,NA,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0,medium_spend_cust
9124-DZALHM-S6I,3,1,66,October,12,1,0,15,1,16,2.6,0.1,-2.28,0.31,-1.16,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,4,1,1,1,8.6,0,0,4,25,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,2,4,3,0,17,12,6,141.24,1,3,53,0,21.05,3.05,1074.35,0,0,NA,0,NA,0,0,0,1,15.5,2.74,830,6.72,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0,medium_spend_cust
3512-MUWBGY-52X,2,0,47,July,11,6,0,19,0,84,4.1,1.77,0.57,1.67,0.52,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,4,4,1,0,41,1,0,1,29,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,1,0,2,11,5,111.17,1,3,3,1,3.65,1.29,20.05,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0,low_spend_cust
